,path,symbol_id,latex,map-MNIST-label
0,hasy-capital-letters-imgs/v2-00000.png,31,A,10
1,hasy-capital-letters-imgs/v2-00001.png,31,A,10
2,hasy-capital-letters-imgs/v2-00002.png,31,A,10
3,hasy-capital-letters-imgs/v2-00003.png,31,A,10
4,hasy-capital-letters-imgs/v2-00004.png,31,A,10
5,hasy-capital-letters-imgs/v2-00005.png,31,A,10
6,hasy-capital-letters-imgs/v2-00006.png,31,A,10
7,hasy-capital-letters-imgs/v2-00007.png,31,A,10
8,hasy-capital-letters-imgs/v2-00008.png,31,A,10
9,hasy-capital-letters-imgs/v2-00009.png,31,A,10
10,hasy-capital-letters-imgs/v2-00010.png,31,A,10
11,hasy-capital-letters-imgs/v2-00011.png,31,A,10
12,hasy-capital-letters-imgs/v2-00012.png,31,A,10
13,hasy-capital-letters-imgs/v2-00013.png,31,A,10
14,hasy-capital-letters-imgs/v2-00014.png,31,A,10
15,hasy-capital-letters-imgs/v2-00015.png,31,A,10
16,hasy-capital-letters-imgs/v2-00016.png,31,A,10
17,hasy-capital-letters-imgs/v2-00017.png,31,A,10
18,hasy-capital-letters-imgs/v2-00018.png,31,A,10
19,hasy-capital-letters-imgs/v2-00019.png,31,A,10
20,hasy-capital-letters-imgs/v2-00020.png,31,A,10
21,hasy-capital-letters-imgs/v2-00021.png,31,A,10
22,hasy-capital-letters-imgs/v2-00022.png,32,B,11
23,hasy-capital-letters-imgs/v2-00023.png,32,B,11
24,hasy-capital-letters-imgs/v2-00024.png,32,B,11
25,hasy-capital-letters-imgs/v2-00025.png,32,B,11
26,hasy-capital-letters-imgs/v2-00026.png,32,B,11
27,hasy-capital-letters-imgs/v2-00027.png,32,B,11
28,hasy-capital-letters-imgs/v2-00028.png,32,B,11
29,hasy-capital-letters-imgs/v2-00029.png,32,B,11
30,hasy-capital-letters-imgs/v2-00030.png,33,C,12
31,hasy-capital-letters-imgs/v2-00031.png,33,C,12
32,hasy-capital-letters-imgs/v2-00032.png,33,C,12
33,hasy-capital-letters-imgs/v2-00033.png,33,C,12
34,hasy-capital-letters-imgs/v2-00034.png,33,C,12
35,hasy-capital-letters-imgs/v2-00035.png,33,C,12
36,hasy-capital-letters-imgs/v2-00036.png,33,C,12
37,hasy-capital-letters-imgs/v2-00037.png,33,C,12
38,hasy-capital-letters-imgs/v2-00038.png,33,C,12
39,hasy-capital-letters-imgs/v2-00039.png,33,C,12
40,hasy-capital-letters-imgs/v2-00040.png,33,C,12
41,hasy-capital-letters-imgs/v2-00041.png,33,C,12
42,hasy-capital-letters-imgs/v2-00042.png,33,C,12
43,hasy-capital-letters-imgs/v2-00043.png,33,C,12
44,hasy-capital-letters-imgs/v2-00044.png,34,D,13
45,hasy-capital-letters-imgs/v2-00045.png,34,D,13
46,hasy-capital-letters-imgs/v2-00046.png,34,D,13
47,hasy-capital-letters-imgs/v2-00047.png,34,D,13
48,hasy-capital-letters-imgs/v2-00048.png,34,D,13
49,hasy-capital-letters-imgs/v2-00049.png,34,D,13
50,hasy-capital-letters-imgs/v2-00050.png,34,D,13
51,hasy-capital-letters-imgs/v2-00051.png,34,D,13
52,hasy-capital-letters-imgs/v2-00052.png,35,E,14
53,hasy-capital-letters-imgs/v2-00053.png,35,E,14
54,hasy-capital-letters-imgs/v2-00054.png,35,E,14
55,hasy-capital-letters-imgs/v2-00055.png,35,E,14
56,hasy-capital-letters-imgs/v2-00056.png,35,E,14
57,hasy-capital-letters-imgs/v2-00057.png,35,E,14
58,hasy-capital-letters-imgs/v2-00058.png,36,F,15
59,hasy-capital-letters-imgs/v2-00059.png,36,F,15
60,hasy-capital-letters-imgs/v2-00060.png,36,F,15
61,hasy-capital-letters-imgs/v2-00061.png,36,F,15
62,hasy-capital-letters-imgs/v2-00062.png,36,F,15
63,hasy-capital-letters-imgs/v2-00063.png,36,F,15
64,hasy-capital-letters-imgs/v2-00064.png,37,G,16
65,hasy-capital-letters-imgs/v2-00065.png,37,G,16
66,hasy-capital-letters-imgs/v2-00066.png,37,G,16
67,hasy-capital-letters-imgs/v2-00067.png,37,G,16
68,hasy-capital-letters-imgs/v2-00068.png,37,G,16
69,hasy-capital-letters-imgs/v2-00069.png,37,G,16
70,hasy-capital-letters-imgs/v2-00070.png,37,G,16
71,hasy-capital-letters-imgs/v2-00071.png,37,G,16
72,hasy-capital-letters-imgs/v2-00072.png,37,G,16
73,hasy-capital-letters-imgs/v2-00073.png,37,G,16
74,hasy-capital-letters-imgs/v2-00074.png,37,G,16
75,hasy-capital-letters-imgs/v2-00075.png,37,G,16
76,hasy-capital-letters-imgs/v2-00076.png,38,H,17
77,hasy-capital-letters-imgs/v2-00077.png,38,H,17
78,hasy-capital-letters-imgs/v2-00078.png,38,H,17
79,hasy-capital-letters-imgs/v2-00079.png,38,H,17
80,hasy-capital-letters-imgs/v2-00080.png,38,H,17
81,hasy-capital-letters-imgs/v2-00081.png,38,H,17
82,hasy-capital-letters-imgs/v2-00082.png,38,H,17
83,hasy-capital-letters-imgs/v2-00083.png,39,I,18
84,hasy-capital-letters-imgs/v2-00084.png,39,I,18
