row_id,path,symbol_id,latex
0,hasy-capital-letters-imgs/v2-00000.png,31,A
1,hasy-capital-letters-imgs/v2-00001.png,31,A
2,hasy-capital-letters-imgs/v2-00002.png,31,A
3,hasy-capital-letters-imgs/v2-00003.png,31,A
4,hasy-capital-letters-imgs/v2-00004.png,31,A
5,hasy-capital-letters-imgs/v2-00005.png,31,A
6,hasy-capital-letters-imgs/v2-00006.png,31,A
7,hasy-capital-letters-imgs/v2-00007.png,31,A
8,hasy-capital-letters-imgs/v2-00008.png,31,A
9,hasy-capital-letters-imgs/v2-00009.png,31,A
10,hasy-capital-letters-imgs/v2-00010.png,31,A
11,hasy-capital-letters-imgs/v2-00011.png,31,A
12,hasy-capital-letters-imgs/v2-00012.png,31,A
13,hasy-capital-letters-imgs/v2-00013.png,31,A
14,hasy-capital-letters-imgs/v2-00014.png,31,A
15,hasy-capital-letters-imgs/v2-00015.png,31,A
16,hasy-capital-letters-imgs/v2-00016.png,31,A
17,hasy-capital-letters-imgs/v2-00017.png,31,A
18,hasy-capital-letters-imgs/v2-00018.png,31,A
19,hasy-capital-letters-imgs/v2-00019.png,31,A
20,hasy-capital-letters-imgs/v2-00020.png,31,A
21,hasy-capital-letters-imgs/v2-00021.png,31,A
22,hasy-capital-letters-imgs/v2-00022.png,32,B
23,hasy-capital-letters-imgs/v2-00023.png,32,B
24,hasy-capital-letters-imgs/v2-00024.png,32,B
25,hasy-capital-letters-imgs/v2-00025.png,32,B
26,hasy-capital-letters-imgs/v2-00026.png,32,B
27,hasy-capital-letters-imgs/v2-00027.png,32,B
28,hasy-capital-letters-imgs/v2-00028.png,32,B
29,hasy-capital-letters-imgs/v2-00029.png,32,B
30,hasy-capital-letters-imgs/v2-00030.png,33,C
31,hasy-capital-letters-imgs/v2-00031.png,33,C
32,hasy-capital-letters-imgs/v2-00032.png,33,C
33,hasy-capital-letters-imgs/v2-00033.png,33,C
34,hasy-capital-letters-imgs/v2-00034.png,33,C
35,hasy-capital-letters-imgs/v2-00035.png,33,C
36,hasy-capital-letters-imgs/v2-00036.png,33,C
37,hasy-capital-letters-imgs/v2-00037.png,33,C
38,hasy-capital-letters-imgs/v2-00038.png,33,C
39,hasy-capital-letters-imgs/v2-00039.png,33,C
40,hasy-capital-letters-imgs/v2-00040.png,33,C
41,hasy-capital-letters-imgs/v2-00041.png,33,C
42,hasy-capital-letters-imgs/v2-00042.png,33,C
43,hasy-capital-letters-imgs/v2-00043.png,33,C
44,hasy-capital-letters-imgs/v2-00044.png,34,D
45,hasy-capital-letters-imgs/v2-00045.png,34,D
46,hasy-capital-letters-imgs/v2-00046.png,34,D
47,hasy-capital-letters-imgs/v2-00047.png,34,D
48,hasy-capital-letters-imgs/v2-00048.png,34,D
49,hasy-capital-letters-imgs/v2-00049.png,34,D
50,hasy-capital-letters-imgs/v2-00050.png,34,D
51,hasy-capital-letters-imgs/v2-00051.png,34,D
52,hasy-capital-letters-imgs/v2-00052.png,35,E
53,hasy-capital-letters-imgs/v2-00053.png,35,E
54,hasy-capital-letters-imgs/v2-00054.png,35,E
55,hasy-capital-letters-imgs/v2-00055.png,35,E
56,hasy-capital-letters-imgs/v2-00056.png,35,E
57,hasy-capital-letters-imgs/v2-00057.png,35,E
58,hasy-capital-letters-imgs/v2-00058.png,36,F
59,hasy-capital-letters-imgs/v2-00059.png,36,F
60,hasy-capital-letters-imgs/v2-00060.png,36,F
61,hasy-capital-letters-imgs/v2-00061.png,36,F
62,hasy-capital-letters-imgs/v2-00062.png,36,F
63,hasy-capital-letters-imgs/v2-00063.png,36,F
64,hasy-capital-letters-imgs/v2-00064.png,37,G
65,hasy-capital-letters-imgs/v2-00065.png,37,G
66,hasy-capital-letters-imgs/v2-00066.png,37,G
67,hasy-capital-letters-imgs/v2-00067.png,37,G
68,hasy-capital-letters-imgs/v2-00068.png,37,G
69,hasy-capital-letters-imgs/v2-00069.png,37,G
70,hasy-capital-letters-imgs/v2-00070.png,37,G
71,hasy-capital-letters-imgs/v2-00071.png,37,G
72,hasy-capital-letters-imgs/v2-00072.png,37,G
73,hasy-capital-letters-imgs/v2-00073.png,37,G
74,hasy-capital-letters-imgs/v2-00074.png,37,G
75,hasy-capital-letters-imgs/v2-00075.png,37,G
76,hasy-capital-letters-imgs/v2-00076.png,38,H
77,hasy-capital-letters-imgs/v2-00077.png,38,H
78,hasy-capital-letters-imgs/v2-00078.png,38,H
79,hasy-capital-letters-imgs/v2-00079.png,38,H
80,hasy-capital-letters-imgs/v2-00080.png,38,H
81,hasy-capital-letters-imgs/v2-00081.png,38,H
82,hasy-capital-letters-imgs/v2-00082.png,38,H
83,hasy-capital-letters-imgs/v2-00083.png,39,I
84,hasy-capital-letters-imgs/v2-00084.png,39,I
85,hasy-capital-letters-imgs/v2-00085.png,39,I
86,hasy-capital-letters-imgs/v2-00086.png,39,I
